City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Areni,AM,75.36,clear sky,39.7191,45.1799,Park-Hotel Khoren's Lake
660,Tevaitoa,PF,77.94,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
664,Kumluca,TR,82.29,clear sky,36.3703,30.2869,Akkol Apart
665,Lubao,PH,88.45,overcast clouds,14.9167,120.55,Hacienda Gracia
668,Hatillo,PR,79.84,broken clouds,18.4863,-66.8254,El Buen Hotel
671,Linqiong,CN,83.93,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
676,Lazaro Cardenas,MX,79.38,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
680,Kolondieba,ML,75.47,broken clouds,11.0882,-6.8926,Hotel Dakan
687,Tabou,CI,75.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
696,Topolobampo,MX,82.31,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
