City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Bluff,NZ,-46.6,168.3333,46.8,69,68,13.27,broken clouds
116,Hobyo,SO,5.3505,48.5268,77.74,77,90,21.03,overcast clouds
117,Albany,US,42.6001,-73.9662,67.33,86,82,2.91,light rain
118,Provideniya,RU,64.3833,-173.3,59.11,72,75,11.18,broken clouds
119,Taksimo,RU,56.3444,114.8794,75.0,51,42,3.24,scattered clouds
120,Geraldton,AU,-28.7667,114.6,68.41,83,81,20.71,broken clouds
121,Ayan,RU,56.45,138.1667,60.21,92,100,8.41,overcast clouds
122,Esperance,AU,-33.8667,121.9,63.59,45,49,19.75,scattered clouds
123,Kavaje,AL,41.1856,19.5569,59.16,54,0,5.17,clear sky
124,Husavik,IS,66.0449,-17.3389,47.1,76,98,7.99,overcast clouds
125,Upernavik,GL,72.7868,-56.1549,39.83,88,92,12.53,overcast clouds
126,Nouakchott,MR,18.0858,-15.9785,75.13,84,14,11.07,few clouds
127,Ilulissat,GL,69.2167,-51.1,46.42,81,57,4.61,broken clouds
128,Goksun,TR,38.021,36.4973,58.57,56,0,8.46,clear sky
129,Mana,GF,5.6592,-53.7767,75.92,88,100,2.75,overcast clouds
130,Maldonado,UY,-34.6667,-54.9167,44.22,83,17,8.59,few clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,87,100,10.89,overcast clouds
132,Kutum,SD,14.2,24.6667,72.82,71,100,10.16,light rain
133,Kloulklubed,PW,7.0419,134.2556,84.7,73,54,6.02,broken clouds
134,Busselton,AU,-33.65,115.3333,62.15,81,81,19.89,broken clouds
135,Faanui,PF,-16.4833,-151.75,78.67,67,89,19.17,overcast clouds
136,Srandakan,ID,-7.9386,110.2506,83.12,73,98,7.2,overcast clouds
137,San Quintin,MX,30.4833,-115.95,65.25,85,33,12.1,scattered clouds
138,Saint-Joseph,RE,-21.3667,55.6167,62.98,77,29,12.24,scattered clouds
139,Mantua,IT,45.1667,10.7833,74.44,76,62,1.99,broken clouds
140,Morondava,MG,-20.2833,44.2833,66.33,51,0,6.87,clear sky
141,Kamenka,RU,51.3223,42.7678,63.41,91,94,5.23,light rain
142,Cabo San Lucas,MX,22.8909,-109.9124,86.61,47,1,5.01,clear sky
143,Tasiilaq,GL,65.6145,-37.6368,36.09,80,4,5.17,clear sky
144,Narkanda,IN,31.2548,77.4613,61.16,74,40,1.5,scattered clouds
145,Pangnirtung,CA,66.1451,-65.7125,44.91,88,65,2.66,broken clouds
146,Nikolskoye,RU,59.7035,30.7861,63.88,79,43,5.61,scattered clouds
147,Bethel,US,41.3712,-73.414,75.56,78,87,2.26,overcast clouds
148,Khatanga,RU,71.9667,102.5,46.45,74,100,10.54,overcast clouds
149,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,48,5.01,scattered clouds
150,Chillicothe,US,39.3331,-82.9824,70.25,96,100,0.0,overcast clouds
151,Bongaree,AU,-27.0797,153.1586,64.42,54,2,15.21,clear sky
152,Alyangula,AU,-13.8483,136.4192,74.01,57,52,17.74,broken clouds
153,Kapaa,US,22.0752,-159.319,87.78,78,40,17.27,scattered clouds
154,Winnipeg,CA,49.8844,-97.147,76.98,54,20,6.91,few clouds
155,Boysun,UZ,38.2061,67.1986,79.54,22,0,0.27,clear sky
156,Saint George,US,37.1041,-113.5841,102.79,17,0,16.11,clear sky
157,Paraiso,CR,9.8383,-83.8656,63.46,97,100,2.1,overcast clouds
158,Stornoway,GB,58.2093,-6.3865,51.93,90,100,4.61,overcast clouds
159,Yarada,IN,17.65,83.2667,79.12,83,75,10.36,drizzle
